cliente_id,nome,email,telefone,data_registo,loja_id,idade,genero
79,Helena Sousa,limaivan@example.net,(351) 961 461 245,2019-05-30,4,65,F
80,Bruna-Iara Azevedo,emilia07@example.org,(351) 926894788,2021-03-20,8,22,F
81,Luciana Nogueira,carminhosousa@example.com,932 076 349,2019-09-07,3,72,F
82,Ana Pereira,guilherme76@example.org,966592665,2025-05-13,4,18,F
83,Benedita Pinto-Carneiro,yasmin39@example.com,(351) 930 748 946,2019-02-12,9,41,F
84,Sofia Amaral,jmonteiro@example.org,(351) 911 302 542,2019-04-17,4,70,F
85,Jorge do Carvalho,xazevedo@example.com,968 576 361,2019-07-22,18,48,M
86,Lorena Gaspar,alvesmarcos@example.org,(351) 932 378 280,2019-07-30,3,57,F
87,Larissa Reis,andradefrederico@example.net,(351) 916 844 744,2019-03-07,14,62,F
88,Gustavo Reis-Lima,yasmin02@example.org,(351) 927005858,2019-06-15,10,26,M
89,Leonor Teixeira-Reis,baptistairina@example.com,(351) 968945405,2019-01-15,18,25,F
90,Luca Matos,cruzemanuel@example.org,(351) 266 609 561,2019-05-09,18,42,M
91,Valentina-Margarida Antunes,wrocha@example.org,(351) 235 303 208,2019-01-31,5,55,F
92,Irina Nascimento,sara50@example.net,928 749 812,2019-12-22,16,59,F
93,Mariana Ramos,pinheiroisabela@example.net,(351) 913409401,2019-05-21,12,35,F
94,Samuel Leal,snunes@example.com,284 454 373,2019-11-20,12,46,M
95,Leandro Anjos,torrescaetana@example.org,912 592 530,2019-07-01,21,61,M
96,Luciana Pires,emiliafonseca@example.org,935947171,2022-07-05,7,21,F
97,Francisco Gaspar,enzo38@example.org,(351) 964 410 841,2019-10-09,7,72,M
98,Lisandro Mota,loliveira@example.com,(351) 933 907 555,2022-06-04,5,21,M
99,Bernardo Morais,alexandre85@example.com,(351) 920824303,2021-09-02,19,22,M
100,Rúben Lopes,rodriguesnaiara@example.com,(351) 289 866 451,2019-04-06,5,70,M
101,Alexandre Borges,luana00@example.net,(351) 270017688,2019-02-15,18,35,M
102,Vitória-Anita Tavares,arodrigues@example.net,(351) 294 225 306,2019-03-27,1,69,F
103,Vasco Vaz-Gaspar,guerreiroalexandra@example.com,207607820,2025-06-21,8,18,M
104,Leonor Figueiredo,andreianogueira@example.com,(351) 936 607 593,2024-03-04,2,19,F
105,Enzo Moura,paivavalentim@example.com,(351) 916 719 441,2019-05-29,4,65,M
106,Cláudio Esteves,melissaoliveira@example.com,247234859,2019-08-25,12,48,M
107,Daniel Vaz,anjosricardo@example.net,911980899,2019-03-30,20,46,M
108,Fernando Gonçalves,tmachado@example.com,964622270,2019-03-25,10,64,M
109,Lara Campos-Matos,npinho@example.com,(351) 938 825 183,2019-07-22,16,59,F
110,Larissa Gonçalves,upinheiro@example.com,937497516,2019-10-07,16,45,F
111,Francisca Carvalho-Faria,jessica92@example.net,+351932446168,2021-02-06,20,22,F
112,Santiago Martins,lourenco14@example.com,(351) 915 252 650,2021-03-04,20,22,M
113,Mafalda Pires-Torres,santiagocampos@example.net,(351) 913 549 573,2019-05-29,10,42,F
114,Leonor Carvalho-Matos,barrosleonor@example.com,(351) 963 830 291,2019-11-13,4,50,F
115,Matias Valente,tomasfernandes@example.net,(351) 922 355 601,2019-05-09,18,72,M
116,Luís Branco,kevim50@example.com,231154346,2019-03-28,14,45,M
117,Rafaela do Santos,jorgefreitas@example.com,+351919249395,2019-12-15,14,70,F
118,Bernardo Sousa,teresavicente@example.org,964677021,2019-10-10,9,38,M
119,Filipa de Paiva,joaquimcunha@example.org,(351) 965799064,2019-11-01,3,27,F
120,Luís Henriques,nnogueira@example.net,933187188,2019-09-20,14,71,M
121,Sérgio do Valente,igor76@example.net,911 413 936,2019-12-14,5,65,M
122,João Simões,ecarneiro@example.org,+351921210644,2019-05-11,11,55,M
123,Diego Teixeira,anitaborges@example.net,+351962638021,2019-05-02,14,44,M
124,Tomás Jesus,dominguesmarco@example.net,934 207 441,2019-05-02,12,36,M
125,Gaspar Branco-Barbosa,vitoria35@example.com,(351) 936 640 312,2019-11-13,5,54,M
126,Catarina Fernandes,noah15@example.org,935127598,2019-09-27,18,32,F
127,Gabriela Soares,valenteluciana@example.org,+351935120807,2019-05-18,8,25,F
128,Carlota-Nair Garcia,nuneslarissa@example.net,(351) 232855026,2019-07-25,20,72,F
129,Gustavo Amaral,nunesbenedita@example.com,961894669,2019-07-02,9,56,M
130,João Antunes,arianafigueiredo@example.net,(351) 920302563,2019-09-30,10,29,M
131,Kyara Faria,antunesjoaquim@example.org,283 012 725,2019-02-27,5,40,F
132,Ana Pinheiro,fhenriques@example.net,(351) 926 600 366,2021-03-19,21,22,F
133,Ângelo Tavares,alvaroneves@example.com,926873543,2020-12-12,7,23,M
134,Larissa Figueiredo,erica59@example.com,931599035,2019-09-23,6,44,F
135,Ema Baptista-Abreu,kelly85@example.net,(351) 966281105,2019-11-16,19,37,F
136,Simão Freitas,machadohenrique@example.com,+351960516510,2019-08-02,6,74,M
137,Matias Monteiro,leonardopinho@example.net,(351) 929979036,2019-10-22,15,61,M
138,Laura Moreira-Moreira,alicia91@example.com,(351) 915699512,2019-10-13,14,49,F
139,Catarina-Andreia Reis,martinsmarcio@example.net,(351) 934481642,2019-12-29,12,31,F
140,Núria Pacheco,patricia67@example.org,+351935972570,2019-11-11,19,25,F
141,Inês Mendes,leandrooliveira@example.com,(351) 911090536,2019-12-07,2,51,F
142,Bryan Barbosa,noa47@example.com,923750091,2019-02-21,1,43,M
143,Ricardo Sá,micael25@example.com,+351930804382,2019-02-01,5,37,M
144,Luana Santos-Martins,valentewilliam@example.org,926535658,2019-06-16,1,36,F
145,Kelly Alves,rita55@example.com,(351) 923 878 142,2019-09-30,5,65,F
146,Laura Borges,martimnascimento@example.com,+351936797771,2019-04-01,17,52,F
147,Patrícia Carvalho,abarros@example.com,+351921646142,2021-07-23,2,22,F
148,Lara Leite,ericamarques@example.org,(351) 937661709,2024-07-29,11,19,F
149,Érica de Pinho,jsoares@example.com,(351) 931558310,2019-07-23,21,54,F
150,Renata-Luísa Amorim,zalmeida@example.org,921762926,2019-12-14,1,36,F
151,Mariana Castro,lmartins@example.com,(351) 932 186 802,2019-03-03,12,28,F
152,Benjamim Fonseca,paivaema@example.com,(351) 210132752,2019-10-22,14,45,M
153,Naiara Lima,benedita44@example.com,962953630,2019-09-25,10,51,F
154,Érica Garcia,netorenato@example.net,(351) 967 614 637,2019-12-13,6,32,F
155,Emanuel Valente,amaralariana@example.com,926 704 438,2019-07-12,17,50,M
156,Nelson Oliveira,goncaloalves@example.com,(351) 920621506,2019-08-30,21,75,M
157,Enzo Jesus,ameliapinto@example.org,(351) 267804642,2019-09-15,9,33,M
158,José Loureiro,leonardoalves@example.com,968359477,2019-05-23,21,29,M
159,Rúben Faria,antoniolourenco@example.org,(351) 912 983 012,2019-05-24,15,29,M
160,Yara Andrade,pacheconoah@example.com,(351) 912326798,2019-10-31,21,61,F
161,Erika Ferreira,sebastiaobranco@example.com,+351965446148,2019-04-08,5,73,F
162,Tatiana Campos,pgarcia@example.net,(351) 919 359 990,2021-08-10,21,22,F
163,Lorena Loureiro,toliveira@example.org,(351) 917024083,2019-04-28,2,68,F
164,Erika Carvalho,teixeiraismael@example.com,965 365 591,2019-09-21,15,50,F
165,Eduarda Mendes,frederico35@example.com,273 928 936,2023-01-08,10,20,F
166,Simão do Ramos,aliceribeiro@example.net,916227932,2019-05-02,20,59,M
167,Alexandra Cruz,helena56@example.com,(351) 931 908 325,2019-05-01,2,47,F
168,Luna Almeida,lourencoerica@example.org,918 880 816,2019-09-05,7,69,F
169,Andreia Araújo,vasco85@example.com,933 199 910,2019-07-03,5,56,F
170,Santiago Pires,namorim@example.com,(351) 935 898 521,2019-07-01,11,46,M
171,Manuel Mendes,matosgustavo@example.net,(351) 969089548,2020-01-03,2,50,M
172,Marco Abreu,edgar01@example.com,(351) 966299564,2020-01-01,17,63,M
173,Marcos Nunes,melovasco@example.com,(351) 934115885,2019-04-18,13,41,M
174,Irina Mota,amorimsoraia@example.org,246361734,2019-04-30,20,67,F
175,César Coelho,hmoura@example.org,(351) 912538798,2019-07-21,11,68,M
176,Leonardo Ferreira,soaresrafaela@example.com,934 316 967,2019-06-05,13,39,M
177,Flor Matias-Pereira,leticia34@example.com,(351) 919526126,2020-01-03,20,34,F
178,Renato Coelho,goncalo56@example.org,(351) 268 318 705,2019-04-28,5,39,M
179,Irina Andrade,ismaelneto@example.net,(351) 933129789,2019-10-26,13,37,F
180,Rui Gaspar,helena49@example.net,(351) 931 962 711,2019-08-23,10,56,M
181,Patrícia Santos,leonormarques@example.org,(351) 965713729,2019-06-06,5,59,F
182,Francisco Fernandes,lunafernandes@example.org,+351966007728,2019-02-09,17,59,M
183,Renata-Raquel Oliveira,camilalopes@example.com,(351) 925 510 566,2024-06-05,6,19,F
184,Ivo do Carvalho,valentina37@example.org,(351) 926829867,2019-01-17,8,39,M
185,Nelson Morais,azevedoandreia@example.org,(351) 927 384 535,2019-06-13,4,27,M
186,Leandro Neto,campossebastiao@example.org,(351) 937927532,2019-02-12,20,60,M
187,Diogo Amorim-Teixeira,brunavieira@example.com,+351916644457,2019-12-26,6,56,M
188,Mauro Barros,zamorim@example.com,(351) 937 796 830,2019-02-16,20,71,M
189,Simão do Sousa,vieiramaria@example.org,(351) 291890938,2019-02-11,14,64,M
190,Madalena Alves,barbosanelson@example.org,(351) 932 874 052,2019-12-15,15,61,F
191,Carolina Carneiro,npires@example.net,(351) 924 569 748,2019-07-08,15,66,F
192,Enzo Ribeiro,matiasramos@example.com,(351) 918 618 704,2019-10-29,16,52,M
193,Eduardo Pinho,ricardo94@example.com,(351) 932589188,2019-09-29,15,41,M
194,Sara Pereira,helena49@example.com,(351) 914021476,2019-06-19,13,67,F
195,Nádia Nogueira,rmachado@example.org,+351277064805,2019-12-04,20,28,F
196,Rodrigo Gomes,vicente76@example.org,918599943,2019-08-28,21,73,M
197,Miriam-Iara Andrade,angela27@example.org,935171285,2019-12-10,4,73,F
198,Ricardo Moreira,baptistaadriana@example.net,(351) 919061555,2019-12-03,6,36,M
199,Bianca Carneiro,maramarques@example.net,929488420,2019-09-11,14,46,F
200,Daniel Miranda-Rodrigues,miguel78@example.org,+351930654288,2019-04-05,1,32,M
201,Ângela Neto-Ribeiro,margarida05@example.com,(351) 926 539 734,2022-07-13,12,21,F
202,Pedro Leal,guilhermepereira@example.com,(351) 911 109 494,2019-05-18,8,42,M
203,Matias Fonseca,brocha@example.org,227 554 457,2019-06-10,21,38,M
204,Alice do Faria,luishenriques@example.com,(351) 919786627,2019-04-01,2,68,F
205,Mia Neto,vitor04@example.net,(351) 966390034,2019-07-21,5,71,F
206,Margarida Domingues,torresdiego@example.org,+351960027058,2019-02-20,3,46,F
207,Márcio Barbosa-Domingues,paulomelo@example.net,913 953 324,2019-09-24,5,34,M
208,Larissa Marques,leticia36@example.net,(351) 918 489 317,2019-07-20,10,25,F
209,William Vicente,rgomes@example.com,938 537 382,2022-04-10,21,21,M
210,Vera Tavares,carlota91@example.net,(351) 930468153,2021-02-22,16,22,F
211,Luca Gonçalves,xvicente@example.org,967136058,2019-09-06,8,58,M
212,Miguel Pires,lbarbosa@example.com,(351) 931934614,2019-04-24,20,36,M
213,Matilde Carvalho,marcosmota@example.com,(351) 917823592,2019-05-25,6,33,F
214,William Sousa,moraismarta@example.net,(351) 296 621 255,2019-06-25,17,51,M
215,Kévim Correia-Pereira,denis07@example.com,(351) 911 930 218,2019-07-30,21,42,M
216,Sara Neto,ribeiroeva@example.com,(351) 933 938 930,2019-07-27,1,41,F
217,Benedita Ribeiro-Martins,santiago07@example.org,(351) 937045133,2019-12-11,8,68,F
218,Duarte da Fernandes,hugopaiva@example.net,(351) 961 299 816,2019-03-28,11,67,M
219,Nelson Amaral,mendesalexandre@example.net,(351) 923 005 985,2023-06-14,11,20,M
220,Valentim Borges,lsousa@example.net,(351) 271 338 625,2019-06-18,16,71,M
221,Afonso Gomes,mendeslara@example.org,962 243 321,2019-12-22,15,69,M
222,Manuel Borges,edgarleite@example.org,+351231153069,2019-04-29,7,36,M
223,Afonso Freitas,david29@example.com,(351) 919 744 587,2019-03-11,13,38,M
224,Kyara Gomes,nicole49@example.com,(351) 939158941,2020-01-27,21,34,F
225,Gil Domingues,dfigueiredo@example.org,(351) 270 608 752,2019-03-18,2,36,M
226,Maria Valente-Pereira,amaraliara@example.net,+351934510903,2019-02-20,12,35,F
227,Mara Nascimento,julia59@example.com,(351) 917 626 937,2019-01-27,15,74,F
228,Alice Castro,violeta35@example.net,(351) 967 713 823,2019-02-21,16,39,F
229,Isabela Pereira,nribeiro@example.org,(351) 963537380,2019-10-06,3,69,F
230,Érica Castro-Guerreiro,vieirapaulo@example.net,(351) 922816792,2020-07-15,6,23,F
231,Mara Moreira,tvaz@example.com,(351) 967363500,2019-04-01,11,38,F
232,Alícia Silva,freitassebastiao@example.net,+351935205485,2019-07-16,14,37,F
233,Rodrigo Oliveira,noahenriques@example.org,256 731 924,2019-05-07,15,62,M
234,Igor Domingues,micael77@example.org,260210974,2019-11-10,14,64,M
235,Yasmin Leite,monteiroana@example.com,(351) 964 517 308,2019-05-12,21,58,F
236,Bárbara Teixeira,hugo04@example.net,(351) 933 156 771,2019-11-21,6,41,F
237,César Moreira,vamorim@example.com,(351) 964 462 506,2020-01-05,15,27,M
238,David Ramos,lisandro01@example.com,(351) 240650521,2019-03-15,21,26,M
239,Sofia Campos,renatojesus@example.net,(351) 968111584,2019-10-25,2,41,F
240,Rodrigo Nogueira,pachecocesar@example.net,(351) 256122219,2019-07-05,12,61,M
241,Helena-Benedita Neves,vieirasalvador@example.com,+351963412027,2019-06-05,5,66,F
242,Caetana Nascimento,sajaime@example.net,(351) 965730639,2019-01-24,9,43,F
243,Gabriel Antunes,leitetomas@example.org,(351) 920587881,2019-11-02,6,25,M
244,Constança da Matias,barbosateresa@example.org,+351967149300,2019-03-09,4,51,F
245,Erika Borges,adrianalima@example.com,+351921149180,2019-07-24,15,67,F
246,Marco Domingues,dinismoura@example.net,938 243 385,2019-01-20,16,57,M
247,Bryan Marques,wmendes@example.net,921 947 825,2019-10-25,3,25,M
248,Helena-Violeta Castro,ymendes@example.org,917191680,2019-10-24,3,29,F
249,Mafalda Lima,hugolima@example.com,(351) 961 401 025,2019-08-19,3,60,F
250,Flor Sá,ema25@example.net,962214651,2019-03-14,6,75,F
251,Hugo Moreira,pinholucia@example.com,(351) 939 517 966,2019-08-22,8,68,M
252,Ângelo Oliveira,carvalhopedro@example.net,933 872 949,2019-11-27,16,30,M
253,Samuel Vieira,mafaldacunha@example.net,937314381,2019-08-02,12,41,M
254,Ariana do Gonçalves,mafaldaassuncao@example.org,930 603 554,2019-07-12,20,69,F
255,Duarte Cruz-Lima,mateus67@example.net,(351) 910351509,2021-05-08,16,22,M
256,Irina Pinho,sabreu@example.org,(351) 931044814,2019-09-13,19,67,F
257,Ângelo Alves,andrepacheco@example.org,916823485,2019-12-01,3,26,M
258,Amélia Moura,rodriguessalvador@example.net,929 203 547,2019-05-22,12,47,F
259,Igor Batista-Marques,bferreira@example.org,(351) 961445895,2019-09-16,19,74,M
260,Dinis do Ribeiro,wnascimento@example.com,+351289547436,2019-05-11,17,67,M
261,Wilson Jesus,moreiraema@example.net,910 447 979,2019-09-18,5,71,M
262,Nair Morais,nascimentogabriel@example.org,(351) 910 268 599,2019-03-30,8,28,F
263,Ana da Fernandes,emartins@example.net,(351) 968 101 328,2019-04-05,3,51,F
264,Gabriela Ferreira,tcoelho@example.org,(351) 961 002 451,2019-02-08,9,30,F
265,Henrique do Rodrigues,tavaresiara@example.com,(351) 930810932,2019-02-03,18,58,M
266,Carlos Campos,meloalexandra@example.com,(351) 930 189 167,2019-05-07,19,50,M
267,David Morais,moreiraenzo@example.net,+351931968996,2019-03-25,20,28,M
268,Luísa Rocha,eduardo23@example.com,+351921165578,2019-03-10,1,71,F
269,Rodrigo Amaral,mariana63@example.net,+351914575674,2023-11-21,19,20,M
270,Vera de Mota,psantos@example.org,939 907 809,2019-03-03,19,59,F
271,Bruna Correia,kbranco@example.com,(351) 932509607,2019-11-05,16,57,F
272,Luana Cunha-Faria,lourencoraquel@example.com,+351937801819,2019-02-09,8,59,F
273,Petra Machado,brianjesus@example.net,226752016,2019-11-30,2,37,F
274,António Mota,vazbruna@example.com,(351) 297061227,2019-10-06,15,46,M
275,Marco Ferreira-Pinho,tiago61@example.org,(351) 911830330,2019-10-25,11,39,M
276,Tatiana Vieira,salome58@example.com,+351923530605,2019-05-06,5,64,F
277,Íris Cardoso,marcos26@example.net,(351) 910784889,2019-05-30,11,50,F
278,Martim Correia,amelia86@example.com,934958279,2019-09-01,15,47,M
279,Ivo Nascimento,nunogomes@example.net,(351) 285125901,2019-08-20,10,27,M
280,Matilde Nunes-Pereira,ferreiramarcos@example.org,967716076,2019-03-21,8,73,F
281,Vasco Valente,ccampos@example.org,938793697,2019-01-04,11,70,M
282,Micael Gonçalves,margaridaneves@example.org,911 556 072,2019-05-13,17,66,M
283,Mélanie Pinheiro,martinsamelia@example.org,(351) 965716474,2019-06-13,1,49,F
284,Dinis Moura-Barros,gasparmaia@example.org,(351) 922391026,2019-09-05,8,43,M
285,Nuno Matos,iriscosta@example.net,+351934091523,2019-10-29,2,55,M
286,Íris Barros,renato94@example.net,204102825,2019-07-14,21,49,F
287,Pilar Pacheco,carvalhosalome@example.org,(351) 934428693,2019-09-19,4,36,F
288,Núria Coelho,teixeirarafael@example.net,+351927842442,2019-04-20,12,26,F
289,Laura de Soares,gil30@example.org,(351) 937 653 794,2019-06-01,2,41,F
290,Gabriel Cruz,nuria56@example.net,(351) 939 102 899,2019-12-26,3,41,M
291,Leonor Araújo,joaomendes@example.net,(351) 964590999,2019-06-15,18,50,F
292,Jéssica Henriques,david02@example.com,(351) 921152629,2019-02-12,20,70,F
293,Rafael Vaz,yrodrigues@example.org,(351) 217 143 137,2019-05-15,12,26,M
294,Mia Teixeira,ruben24@example.com,(351) 967 878 475,2019-12-01,5,53,F
295,Cristiano Domingues,tomasmagalhaes@example.net,+351936217790,2019-07-11,17,56,M
296,Enzo Teixeira,loureiroenzo@example.com,923609658,2023-01-01,11,20,M
297,Miriam de Abreu,fariasara@example.org,266 395 474,2019-09-02,20,51,F
298,Mário Moura,marioanjos@example.org,(351) 937 311 791,2019-12-10,6,38,M
299,Amélia Pacheco,ariana36@example.org,923 190 998,2019-09-01,10,57,F
300,Larissa Teixeira,britodiogo@example.net,925847700,2019-10-24,16,50,F
301,Letícia Esteves,erica55@example.com,(351) 933816943,2019-09-21,11,48,F
302,Brian Garcia-Costa,miguel90@example.net,(351) 933273937,2019-05-04,21,44,M
303,Rui Cruz,nvaz@example.net,(351) 928665267,2019-01-29,21,56,M
304,Mauro Nunes,daniela33@example.org,910 242 239,2019-06-27,16,64,M
305,Emanuel Tavares,tomevicente@example.org,(351) 916 850 236,2019-03-01,20,51,M
306,Constança Vicente,pedro21@example.net,936 010 568,2019-09-30,2,27,F
307,Rafael Nogueira,maria66@example.org,911 729 938,2019-12-05,11,30,M
308,Gabriela Sá-Teixeira,raquelgoncalves@example.com,(351) 292739105,2019-01-05,7,27,F
309,Violeta Pires,usousa@example.org,(351) 966909745,2020-02-27,2,50,F
310,Dinis Faria,camposyara@example.org,(351) 225 041 429,2019-11-13,11,51,M
311,Petra Magalhães,melaniehenriques@example.com,(351) 919 651 892,2019-08-07,6,51,F
312,Yara Marques,irinaneto@example.com,(351) 915563188,2019-11-24,12,52,F
313,Victória Teixeira,ismaelfernandes@example.com,(351) 202469711,2019-03-04,8,57,F
314,Leonor-Inês Andrade,tpereira@example.org,(351) 268 519 886,2019-11-10,10,53,F
315,Petra de Barbosa,ines06@example.org,962 123 791,2019-12-29,16,63,F
316,Ariana Teixeira,erica33@example.com,(351) 279771135,2019-06-20,9,48,F
317,Inês Fonseca-Rocha,amota@example.com,(351) 963726411,2019-02-22,18,25,F
318,Rita Ribeiro,nbaptista@example.com,(351) 960117588,2019-09-20,12,75,F
319,Martim Fonseca,fribeiro@example.org,967676287,2019-10-28,3,36,M
320,Mia do Monteiro,simoesraquel@example.com,+351258084258,2019-07-13,16,46,F
321,Guilherme Amaral-Abreu,vieiradebora@example.net,(351) 927721257,2019-08-05,18,30,M
322,Luana Ribeiro,barrosigor@example.com,(351) 937 812 032,2019-07-13,19,26,F
323,William Assunção-Melo,rodrigogarcia@example.net,(351) 261 277 735,2019-10-18,17,33,M
324,Guilherme Baptista,leonardonogueira@example.com,913545741,2019-04-01,4,58,M
325,Laura Pinheiro,qmatias@example.com,(351) 962 866 679,2019-01-03,4,39,F
326,Cláudio de Guerreiro,silvawilson@example.net,960510703,2025-09-01,14,18,M
327,Alícia Reis,varaujo@example.net,(351) 218 414 071,2019-01-22,10,48,F
328,Kyara Jesus,ramossimao@example.com,+351926075391,2019-05-11,3,36,F
329,Tomé Silva-Moreira,gomespatricia@example.com,+351935016054,2019-09-29,2,52,M
330,Leonardo Carneiro,lealmauro@example.org,917047910,2019-08-17,13,44,M
